DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO
02/02/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700300.0
30/10/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700300.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700300.0
01/02/2021,Feriado Municipal,MUNICIPAL,,AL,2700409.0
02/02/2021,Feriado Municipal,MUNICIPAL,,AL,2700409.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2700409.0
26/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700607.0
08/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700706.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700706.0
22/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700706.0
22/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2701001.0
20/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2701001.0
11/11/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2701001.0
08/09/2021,Feriado Municipal,MUNICIPAL,,AL,2701209.0
19/09/2021,Feriado Municipal,MUNICIPAL,,AL,2701209.0
08/06/2021,Feriado Municipal,MUNICIPAL,,AL,2701407.0
31/05/2021,Feriado Municipal,MUNICIPAL,,AL,2701506.0
01/06/2021,Feriado Municipal,MUNICIPAL,,AL,2701506.0
13/12/2021,Feriado Municipal,MUNICIPAL,,AL,2701506.0
19/03/2021,São José,MUNICIPAL,Dia de São José,AL,2701605.0
22/08/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2701605.0
15/08/2021,"São Benedito, Padroeiro do município",MUNICIPAL,,AL,2702009.0
21/09/2021,Emancipação política do município,MUNICIPAL,,AL,2702009.0
16/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2702108.0
16/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2702306.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2702306.0
23/04/2021,Feriado Municipal,MUNICIPAL,,AL,2702355.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2702355.0
14/02/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2702405.0
20/01/2021,Feriado Municipal,MUNICIPAL,,AL,2702504.0
02/02/2021,Feriado Municipal,MUNICIPAL,,AL,2702504.0
08/07/2021,Feriado Municipal,MUNICIPAL,,AL,2702504.0
20/07/2021,Feriado Municipal,MUNICIPAL,,AL,2702504.0
25/04/2021,Feriado Municipal,MUNICIPAL,,AL,2702603.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2702603.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2702900.0
27/12/2021,Feriado Municipal,MUNICIPAL,,AL,2703106.0
16/05/2021,Emancipação Política,MUNICIPAL,Emancipação Política,AL,2703205.0
22/08/2021,Aniversário do Município,MUNICIPAL,Aniversário da Emancipação Política do Município,AL,2703304.0
